Sub Sector,Category,Shipment MSU Internal,Day Date (Real)
BABY,BABY WIPES,0.37560,2022-03-01 00:00:00
BABY,BABY WIPES,1.47330,2022-03-02 00:00:00
BABY,BABY WIPES,0.86310,2022-03-03 00:00:00
BABY,BABY WIPES,1.47490,2022-03-04 00:00:00
BABY,BABY WIPES,0.20960,2022-03-05 00:00:00
BABY,BABY WIPES,1.06550,2022-03-07 00:00:00
BABY,BABY WIPES,0.39650,2022-03-08 00:00:00
BABY,BABY WIPES,1.61630,2022-03-09 00:00:00
BABY,BABY WIPES,1.36490,2022-03-10 00:00:00
BABY,BABY WIPES,2.39380,2022-03-11 00:00:00
BABY,BABY WIPES,1.07800,2022-03-12 00:00:00
BABY,BABY WIPES,1.10870,2022-03-14 00:00:00
BABY,BABY WIPES,1.65960,2022-03-15 00:00:00
BABY,BABY WIPES,0.54850,2022-03-16 00:00:00
BABY,BABY WIPES,0.00000,2022-03-17 00:00:00
BABY,BABY WIPES,1.24100,2022-03-18 00:00:00
BABY,BABY WIPES,0.30410,2022-03-21 00:00:00
BABY,BABY WIPES,0.42990,2022-03-22 00:00:00
BABY,BABY WIPES,0.51900,2022-03-23 00:00:00
BABY,BABY WIPES,2.07410,2022-03-24 00:00:00
BABY,BABY WIPES,2.95330,2022-03-25 00:00:00
BABY,BABY WIPES,0.61080,2022-03-26 00:00:00
BABY,BABY WIPES,0.65380,2022-03-28 00:00:00
BABY,BABY WIPES,0.00000,2022-03-29 00:00:00
BABY,BABY WIPES,2.31060,2022-03-30 00:00:00
BABY,BABY WIPES,0.49280,2022-03-31 00:00:00
BABY,BABY WIPES,1.28300,2022-04-01 00:00:00
BABY,BABY WIPES,0.54550,2022-04-02 00:00:00
BABY,BABY WIPES,0.77460,2022-04-04 00:00:00
BABY,BABY WIPES,1.71820,2022-04-05 00:00:00
BABY,BABY WIPES,1.32590,2022-04-06 00:00:00
BABY,BABY WIPES,0.17550,2022-04-07 00:00:00
BABY,BABY WIPES,2.08730,2022-04-08 00:00:00
