"Sub Sector","Category","Shipment MSU Internal","Date"
"PERSONAL CARE","APDO & BODY SPRAY",1.5658,"2021-08"
"PERSONAL CARE","MASS FRAGRANCE",0.156,"2021-08"
"PERSONAL CARE","PERSONAL CLEANSING",0.1381,"2021-08"
"PHC CARE","SLEEP AID",0.5652999999999999,"2021-08"
"SKIN CARE","FEMALE SKIN CARE",3.4457999999999998,"2021-08"
"BABY CARE","BABY WIPES",28.8114,"2021-09"
"BABY CARE","DIAPER",77.08400000000003,"2021-09"
"DISH WASHING","ADW",20.700800000000005,"2021-09"
"DISH WASHING","HDW",26.349500000000006,"2021-09"
"FABRIC CARE","FABRIC ENHANCER",1.1645,"2021-09"
"FABRIC CARE","LAUNDRY",162.25879999999995,"2021-09"
"FEMININE CARE","INCO",2.6231,"2021-09"
"FEMININE CARE","LINERS",16.8874,"2021-09"
"FEMININE CARE","PADS",29.733700000000006,"2021-09"
"FEMININE CARE","TAMPONS",10.5155,"2021-09"
"GROOMING","FEMALE DISPOSABL RAZ",3.6502,"2021-09"
"GROOMING","FEMALE HR RMVL APPLN",1.5390000000000001,"2021-09"
"GROOMING","FEMALE PREM B&R SYS",3.6653000000000007,"2021-09"
"GROOMING","FEMALE SHAVE PREP",0.0523,"2021-09"
"GROOMING","HAIR CARE APPLIANCE",-0.001,"2021-09"
"GROOMING","MALE DISPOSABL RAZOR",31.4575,"2021-09"
"GROOMING","MALE HAIR REMV APPLN",2.1844,"2021-09"
"GROOMING","MALE OT SYSDBL EDGE",0.222,"2021-09"
"GROOMING","MALE PREMIUM B&R SYS",19.126600000000003,"2021-09"
"GROOMING","MALE SHAVE PREP",2.7994999999999997,"2021-09"
"GROOMING","MALE SKIN CARE",0.0178,"2021-09"
"HAIR CARE","AUSSIE",0.40969999999999995,"2021-09"
"HAIR CARE","BEAR FRUITS",0.0116,"2021-09"
"HAIR CARE","H&S",41.29759999999999,"2021-09"
"HAIR CARE","HERBAL ESSENCES",2.1096999999999992,"2021-09"
"HAIR CARE","MODEST EGO",0.0007,"2021-09"
"HAIR CARE","PANTENE",53.548099999999984,"2021-09"
"HOME CARE","AIR CARE",11.215100000000001,"2021-09"
"HOME CARE","CLEANING PRODUCTS",15.417799999999998,"2021-09"
"HOME CARE","CLEANING SYSTEMS",2.7466,"2021-09"
"ORAL CARE","DENTAL FLOSS",0.5962,"2021-09"
"ORAL CARE","DENTIFRICE",7.3386000000000005,"2021-09"
"ORAL CARE","DENTURE CARE",0.5313000000000001,"2021-09"
"ORAL CARE","MANUAL ORAL CARE",1.2711999999999997,"2021-09"
"ORAL CARE","ORAL RINSE",0.7206,"2021-09"
"ORAL CARE","POWER ORAL CARE",6.469699999999998,"2021-09"
"PERSONAL CARE","APDO & BODY SPRAY",1.5695,"2021-09"
"PERSONAL CARE","MASS FRAGRANCE",0.0948,"2021-09"
"PERSONAL CARE","PERSONAL CLEANSING",0.1582,"2021-09"
"PHC CARE","SLEEP AID",1.099,"2021-09"
"SKIN CARE","FEMALE SKIN CARE",4.158900000000001,"2021-09"
"BABY CARE","BABY WIPES",4.088800000000001,"2021-10"
"BABY CARE","DIAPER",91.2232,"2021-10"
"DISH WASHING","ADW",18.929100000000002,"2021-10"
"DISH WASHING","HDW",29.8765,"2021-10"
"FABRIC CARE","FABRIC ENHANCER",3.1847999999999996,"2021-10"
"FABRIC CARE","LAUNDRY",157.46360000000007,"2021-10"
"FEMININE CARE","INCO",3.4438000000000004,"2021-10"
"FEMININE CARE","LINERS",19.1788,"2021-10"
"FEMININE CARE","PADS",24.613500000000002,"2021-10"
"FEMININE CARE","TAMPONS",11.602899999999998,"2021-10"
"GROOMING","FEMALE DISPOSABL RAZ",3.3428,"2021-10"
"GROOMING","FEMALE HR RMVL APPLN",1.4969999999999999,"2021-10"
"GROOMING","FEMALE PREM B&R SYS",4.1356,"2021-10"
"GROOMING","FEMALE SHAVE PREP",0.0523,"2021-10"
"GROOMING","HAIR CARE APPLIANCE",-0.005,"2021-10"
"GROOMING","MALE DISPOSABL RAZOR",29.569400000000005,"2021-10"
"GROOMING","MALE HAIR REMV APPLN",6.0674,"2021-10"
"GROOMING","MALE OT SYSDBL EDGE",0.5745,"2021-10"
"GROOMING","MALE PREMIUM B&R SYS",23.920299999999994,"2021-10"
"GROOMING","MALE SHAVE PREP",3.4147,"2021-10"
"GROOMING","MALE SKIN CARE",0.3093,"2021-10"
"HAIR CARE","AUSSIE",0.28010000000000007,"2021-10"
"HAIR CARE","BEAR FRUITS",0.011,"2021-10"
"HAIR CARE","H&S",29.063800000000004,"2021-10"
"HAIR CARE","HERBAL ESSENCES",3.6183000000000005,"2021-10"
"HAIR CARE","MODEST EGO",0.0006000000000000001,"2021-10"
"HAIR CARE","PANTENE",61.11040000000001,"2021-10"
"HOME CARE","AIR CARE",11.759,"2021-10"
"HOME CARE","CLEANING PRODUCTS",15.902499999999998,"2021-10"
"HOME CARE","CLEANING SYSTEMS",2.5610999999999997,"2021-10"
"ORAL CARE","DENTAL FLOSS",0.5510999999999999,"2021-10"
"ORAL CARE","DENTIFRICE",6.259300000000001,"2021-10"
"ORAL CARE","DENTURE CARE",0.4615999999999999,"2021-10"
"ORAL CARE","MANUAL ORAL CARE",1.4212999999999998,"2021-10"
"ORAL CARE","ORAL RINSE",0.9043000000000001,"2021-10"
"ORAL CARE","POWER ORAL CARE",14.965999999999998,"2021-10"
"PERSONAL CARE","APDO & BODY SPRAY",1.5189999999999997,"2021-10"
"PERSONAL CARE","MASS FRAGRANCE",0.5052,"2021-10"
"PERSONAL CARE","PERSONAL CLEANSING",0.177,"2021-10"
"PHC CARE","SLEEP AID",0.532,"2021-10"
"SKIN CARE","FEMALE SKIN CARE",4.881799999999999,"2021-10"
"BABY CARE","BABY WIPES",28.9529,"2021-11"
"BABY CARE","DIAPER",80.72399999999998,"2021-11"
"DISH WASHING","ADW",26.395899999999997,"2021-11"
"DISH WASHING","HDW",33.6554,"2021-11"
"FABRIC CARE","FABRIC ENHANCER",2.0410999999999997,"2021-11"
"FABRIC CARE","LAUNDRY",146.87590000000003,"2021-11"
"FEMININE CARE","INCO",2.6477000000000004,"2021-11"
"FEMININE CARE","LINERS",16.0841,"2021-11"
"FEMININE CARE","PADS",26.79379999999999,"2021-11"
"FEMININE CARE","TAMPONS",12.571399999999999,"2021-11"
"GROOMING","FEMALE DISPOSABL RAZ",1.9053,"2021-11"
"GROOMING","FEMALE HR RMVL APPLN",3.975,"2021-11"
"GROOMING","FEMALE PREM B&R SYS",1.8044999999999998,"2021-11"
"GROOMING","FEMALE SHAVE PREP",0.0491,"2021-11"
"GROOMING","HAIR CARE APPLIANCE",-0.003,"2021-11"
"GROOMING","MALE DISPOSABL RAZOR",27.3806,"2021-11"
"GROOMING","MALE HAIR REMV APPLN",6.946400000000001,"2021-11"
"GROOMING","MALE OT SYSDBL EDGE",0.344,"2021-11"
"GROOMING","MALE PREMIUM B&R SYS",19.071900000000003,"2021-11"
"GROOMING","MALE SHAVE PREP",3.3855000000000004,"2021-11"
"GROOMING","MALE SKIN CARE",0.3589,"2021-11"
"HAIR CARE","AUSSIE",0.32439999999999997,"2021-11"
"HAIR CARE","BEAR FRUITS",0.0017000000000000001,"2021-11"
"HAIR CARE","H&S",29.705800000000004,"2021-11"
"HAIR CARE","HERBAL ESSENCES",2.5709,"2021-11"
"HAIR CARE","MODEST EGO",0,"2021-11"
"HAIR CARE","PANTENE",46.48339999999998,"2021-11"
"HOME CARE","AIR CARE",8.241999999999999,"2021-11"
"HOME CARE","CLEANING PRODUCTS",18.378400000000003,"2021-11"
"HOME CARE","CLEANING SYSTEMS",1.3979,"2021-11"
"ORAL CARE","DENTAL FLOSS",0.3608,"2021-11"
"ORAL CARE","DENTIFRICE",7.443199999999999,"2021-11"
"ORAL CARE","DENTURE CARE",0.5442,"2021-11"
"ORAL CARE","MANUAL ORAL CARE",1.0216,"2021-11"
"ORAL CARE","ORAL RINSE",0.8349000000000001,"2021-11"
"ORAL CARE","POWER ORAL CARE",12.612300000000001,"2021-11"
"PERSONAL CARE","APDO & BODY SPRAY",1.5563,"2021-11"
"PERSONAL CARE","MASS FRAGRANCE",0.2268,"2021-11"
"PERSONAL CARE","PERSONAL CLEANSING",0.17279999999999998,"2021-11"
"PHC CARE","SLEEP AID",0.7498,"2021-11"
"SKIN CARE","FEMALE SKIN CARE",7.229000000000002,"2021-11"
"BABY CARE","BABY WIPES",27.0622,"2021-12"
"BABY CARE","DIAPER",64.6702,"2021-12"
"DISH WASHING","ADW",15.811300000000001,"2021-12"
"DISH WASHING","HDW",31.932199999999995,"2021-12"
"FABRIC CARE","FABRIC ENHANCER",1.9643,"2021-12"
"FABRIC CARE","LAUNDRY",146.56220000000002,"2021-12"
"FEMININE CARE","INCO",3.1187000000000005,"2021-12"
"FEMININE CARE","LINERS",19.2684,"2021-12"
"FEMININE CARE","PADS",26.2931,"2021-12"
"FEMININE CARE","TAMPONS",9.665000000000001,"2021-12"
"GROOMING","FEMALE DISPOSABL RAZ",2.5723,"2021-12"
"GROOMING","FEMALE HR RMVL APPLN",2.5160000000000005,"2021-12"
"GROOMING","FEMALE PREM B&R SYS",2.0356,"2021-12"
"GROOMING","FEMALE SHAVE PREP",0.034,"2021-12"
"GROOMING","HAIR CARE APPLIANCE",-0.003,"2021-12"
"GROOMING","MALE DISPOSABL RAZOR",33.5831,"2021-12"
"GROOMING","MALE HAIR REMV APPLN",8.152000000000001,"2021-12"
"GROOMING","MALE OT SYSDBL EDGE",0.4003,"2021-12"
"GROOMING","MALE PREMIUM B&R SYS",21.132299999999997,"2021-12"
"GROOMING","MALE SHAVE PREP",3.3707,"2021-12"
"GROOMING","MALE SKIN CARE",0.3316,"2021-12"
"HAIR CARE","AUSSIE",0.9284000000000001,"2021-12"
"HAIR CARE","BEAR FRUITS",0.0026999999999999997,"2021-12"
"HAIR CARE","H&S",37.98880000000001,"2021-12"
"HAIR CARE","HERBAL ESSENCES",2.6012000000000004,"2021-12"
"HAIR CARE","PANTENE",49.966699999999996,"2021-12"
"HOME CARE","AIR CARE",8.4194,"2021-12"
"HOME CARE","CLEANING PRODUCTS",13.544599999999997,"2021-12"
"HOME CARE","CLEANING SYSTEMS",1.0019,"2021-12"
"ORAL CARE","DENTAL FLOSS",0.3771,"2021-12"
"ORAL CARE","DENTIFRICE",5.193900000000002,"2021-12"
"ORAL CARE","DENTURE CARE",0.5005,"2021-12"
"ORAL CARE","MANUAL ORAL CARE",1.4016000000000002,"2021-12"
"ORAL CARE","ORAL RINSE",0.48429999999999995,"2021-12"
"ORAL CARE","POWER ORAL CARE",16.641499999999997,"2021-12"
"PERSONAL CARE","APDO & BODY SPRAY",1.1262,"2021-12"
"PERSONAL CARE","MASS FRAGRANCE",0.288,"2021-12"
"PERSONAL CARE","PERSONAL CLEANSING",0.1426,"2021-12"
"PHC CARE","SLEEP AID",0.7239,"2021-12"
"SKIN CARE","FEMALE SKIN CARE",5.627299999999999,"2021-12"
"BABY CARE","BABY WIPES",21.2365,"2022-01"
"BABY CARE","DIAPER",73.35100000000001,"2022-01"
"DISH WASHING","ADW",17.5468,"2022-01"
"DISH WASHING","HDW",34.39770000000001,"2022-01"
"FABRIC CARE","FABRIC ENHANCER",3.2039,"2022-01"
"FABRIC CARE","LAUNDRY",146.21719999999996,"2022-01"
"FEMININE CARE","INCO",3.3606000000000003,"2022-01"
"FEMININE CARE","LINERS",21.2516,"2022-01"
"FEMININE CARE","PADS",27.136699999999998,"2022-01"
"FEMININE CARE","TAMPONS",9.214300000000001,"2022-01"
"GROOMING","FEMALE DISPOSABL RAZ",2.402,"2022-01"
"GROOMING","FEMALE HR RMVL APPLN",2.966,"2022-01"
"GROOMING","FEMALE PREM B&R SYS",2.1470000000000002,"2022-01"
"GROOMING","FEMALE SHAVE PREP",0.0301,"2022-01"
"GROOMING","HAIR CARE APPLIANCE",-0.006,"2022-01"
"GROOMING","MALE DISPOSABL RAZOR",31.455000000000002,"2022-01"
